from,to,weight,type
n92,n88,5,aggressive
n92,n77,3,aggressive
n92,n64,12,aggressive
n92,n104,4,aggressive
n92,n99,0,courtship
n92,n100,0,courtship
n92,n116,1,courtship
n92,n80,0,courtship
n92,n86,1,courtship
n88,n92,5,aggressive
n88,n77,15,aggressive
n88,n64,10,aggressive
n88,n104,4,aggressive
n88,n99,0,courtship
n88,n100,0,courtship
n88,n116,0,courtship
n88,n80,0,courtship
n88,n86,0,courtship
n77,n92,0,aggressive
n77,n88,0,aggressive
n77,n64,0,aggressive
n77,n104,0,aggressive
n77,n99,0,courtship
n77,n100,0,courtship
n77,n116,0,courtship
n77,n80,0,courtship
n77,n86,0,courtship
n64,n92,0,aggressive
n64,n88,0,aggressive
n64,n77,0,aggressive
n64,n104,0,aggressive
n64,n99,0,courtship
n64,n100,0,courtship
n64,n116,0,courtship
n64,n80,0,courtship
n64,n86,0,courtship
n104,n92,0,aggressive
n104,n88,0,aggressive
n104,n77,0,aggressive
n104,n64,0,aggressive
n104,n99,0,courtship
n104,n100,0,courtship
n104,n116,0,courtship
n104,n80,0,courtship
n104,n86,0,courtship
